AcctId,EOM,ClosingBal
11885,30/09/2020,1636310.63
11885,31/10/2020,1716849.67
11885,30/11/2020,1778814.2
11885,31/12/2020,1778814.2
11906,31/01/2018,1212096.64
11906,28/02/2018,1203172.35
11906,31/03/2018,1224530.93
11906,30/04/2018,1220867.69
11906,31/05/2018,1249683.89
11906,30/06/2018,1208263.36
11906,31/07/2018,1217848.99
11906,31/08/2018,1214885.4
11906,30/09/2018,1164487.74
11906,31/10/2018,1091352.78
11906,30/11/2018,1143566.57
11906,31/12/2018,1182220.7
11906,31/01/2019,1143346.27
11906,28/02/2019,1212126.75
11906,31/03/2019,1235380.23
11906,30/04/2019,1230999.82
11906,31/05/2019,1263157.24
11906,30/06/2019,1274701.17
11906,31/07/2019,1281052.72
11906,31/08/2019,1289320.94
11906,30/09/2019,1290964.99
11906,31/10/2019,1304545.27
11906,30/11/2019,1302004.2
11906,31/12/2019,1323160.16
11906,31/01/2020,1287460.42
11906,29/02/2020,1217195.1
11906,31/03/2020,1235997.44
11906,30/04/2020,1240756.56
11906,31/05/2020,1244806.38
11906,30/06/2020,1258441.15
11906,31/07/2020,1265262.05
11906,31/08/2020,1260445.52
11906,30/09/2020,1264031.17
11906,31/10/2020,1301467.97
11906,30/11/2020,1304313.04
11906,31/12/2020,1304313.04
12969,31/01/2018,888442.68
12969,28/02/2018,919155.42
12969,31/03/2018,935526.38
12969,30/04/2018,934580.71
12969,31/05/2018,955011.64
12969,30/06/2018,907053.22
12969,31/07/2018,913622.74
12969,31/08/2018,910862.63
12969,30/09/2018,881880.87
12969,31/10/2018,848266.24
12969,30/11/2018,858360.62
12969,31/12/2018,877021.49
12969,31/01/2019,901993.63
12969,28/02/2019,899204.09
12969,31/03/2019,894269.62
12969,30/04/2019,884481.95
12969,31/05/2019,921356.43
12969,30/06/2019,927684.33
12969,31/07/2019,925516.26
12969,31/08/2019,933704.2
12969,30/09/2019,929375.58
12969,31/10/2019,916508.51
12969,30/11/2019,929242.15
12969,31/12/2019,940417.75
12969,31/01/2020,900815.64
12969,29/02/2020,811410.36
12969,31/03/2020,861478.78
12969,30/04/2020,870444.58
12969,31/05/2020,867310.96
12969,30/06/2020,921247.51
12969,31/07/2020,922231.19
12969,31/08/2020,916694.73
12969,30/09/2020,915168.05
12969,31/10/2020,951027.66
12969,30/11/2020,950327.29
12969,31/12/2020,950327.29
13307,31/01/2018,1702424.77
13307,28/02/2018,1655387.87
13307,31/03/2018,1692227.46
13307,30/04/2018,1655809.85
13307,31/05/2018,1691379.97
13307,30/06/2018,1599166.24
13307,31/07/2018,1675195.79
13307,31/08/2018,1696610.93
13307,30/09/2018,1631360.47
13307,31/10/2018,1585133.15
13307,30/11/2018,1539779.6
13307,31/12/2018,1587611.16
13307,31/01/2019,1600235.57
13307,28/02/2019,1645058.03
13307,31/03/2019,1697735.29
13307,30/04/2019,1626935.09
13307,31/05/2019,1666148.48
13307,30/06/2019,1688549.57
13307,31/07/2019,1692314.71
13307,31/08/2019,1722082.6
13307,30/09/2019,1722376.93
13307,31/10/2019,1709507.49
13307,30/11/2019,1702369.1
13307,31/12/2019,1734999.58
13307,31/01/2020,1662125.44
13307,29/02/2020,1493458.92
13307,31/03/2020,1552933.38
13307,30/04/2020,1583118.96
13307,31/05/2020,1586611.19
13307,30/06/2020,1437305.35
13307,31/07/2020,1563317.02
13307,31/08/2020,1553311.76
13307,30/09/2020,1561737.66
13307,31/10/2020,1646581.25
13307,30/11/2020,1655311.34
13307,31/12/2020,1655311.34
18216,31/01/2018,1883337.38
18216,28/02/2018,2066338.32
18216,31/03/2018,2039608.05
18216,30/04/2018,2021499.3
18216,31/05/2018,2130702.84
18216,30/06/2018,1809012.29
18216,31/07/2018,1905209.32
18216,31/08/2018,1927519.09
18216,30/09/2018,1998715.43
18216,31/10/2018,1833687.69
18216,30/11/2018,1940650.31
18216,31/12/2018,1813748.75
18216,31/01/2019,2000909.95
18216,28/02/2019,1992389.33
18216,31/03/2019,1983680.2
18216,30/04/2019,2004527.52
18216,31/05/2019,2069334.92
18216,30/06/2019,2086269.11
18216,31/07/2019,2100808.22
18216,31/08/2019,2109846.49
18216,30/09/2019,2103334.67
18216,31/10/2019,2091542.16
18216,30/11/2019,2120417.35
18216,31/12/2019,2133760.94
18216,31/01/2020,2104156.91
18216,29/02/2020,1851225.3
18216,31/03/2020,1876368.65
18216,30/04/2020,1941279.16
18216,31/05/2020,1937509.25
18216,30/06/2020,1925356.6
18216,31/07/2020,1969529.25
18216,31/08/2020,1981904.7
18216,30/09/2020,1991144.53
18216,31/10/2020,2023856.29
18216,30/11/2020,2044691.72
18216,31/12/2020,2044691.72
18452,31/01/2018,377860.33
18452,28/02/2018,391347.1
18452,31/03/2018,369289.91
18452,30/04/2018,357784.8
18452,31/05/2018,395869.94
18452,30/06/2018,351413.43
18452,31/07/2018,350484.87
18452,31/08/2018,351274.25
18452,30/09/2018,356571.84
18452,31/10/2018,339922.48
18452,30/11/2018,355827.98
18452,31/12/2018,341858.38
18452,31/01/2019,371768.93
18452,28/02/2019,363581.21
18452,31/03/2019,364937
18452,30/04/2019,371350.12
18452,31/05/2019,376616.25
18452,30/06/2019,381859.28
18452,31/07/2019,386642.34
18452,31/08/2019,380577.04
18452,30/09/2019,381892.27
18452,31/10/2019,382986.59
18452,30/11/2019,380089.27
18452,31/12/2019,385551.9
18452,31/01/2020,382148.97
18452,29/02/2020,331543.13
18452,31/03/2020,338390.72
18452,30/04/2020,351058.66
18452,31/05/2020,342268.18
18452,30/06/2020,343304.56
18452,31/07/2020,352702.04
